brand,model,motor,year,mileage,fuel,price
Ford,Mustang,2.3 ECOBOOST 317 ECOBOOST,2019,7062,Essence,51390
Ford,Mustang,5.0 V8 421 BLACK SHADOW EDITION,2018,37198,Essence,58780
Ford,Mustang,5.0 V8 421 GT,2016,22230,Essence,57310
Ford,Mustang,V8 412,2012,30670,Essence,49760
Ford,Mustang,5.0 V8 421 GT,2017,7770,Essence,54370
Ford,Mustang,5.0 V8 421 GT,2019,23195,Essence,53390
Ford,Mustang,5.0 V8 421 GT,2017,50160,Essence,53460
Ford,Mustang,5.0 V8 444 GT,2014,61876,Essence,58150
Ford,Mustang,V 5.0 V8 GT CALIFORNIA SPECIAL,2012,32745,Essence,48720
Ford,Mustang,5.0 V8 421 BLACK SHADOW EDITION,2018,28871,Essence,53930
Ford,Mustang,5.0 V8 421 GT,2017,45000,Essence,56120
Ford,Mustang,5.0 V8 421 GT,2017,48063,Essence,49930
Ford,Mustang,5.0 V8 421 GT,2017,44635,Essence,55350
Ford,Mustang,5.0 V8 421 GT,2019,22557,Essence,51920
Ford,Mustang,5.0 450 GT,2019,9044,Essence,59380
Ford,Mustang,2.3 ECOBOOST 317 ECOBOOST,2019,7062,Essence,51390
Ford,Mustang,5.0 V8 421 GT,2018,27032,Essence,50030
Ford,Mustang,2.3 ECOBOOST 290 ECOBOOST,2018,19184,Essence,46850
Ford,Mustang,5.0 V8 421 GT,2015,27151,Essence,51400
Ford,Mustang,2.3 ECOBOOST 317 ECOBOOST,2016,37067,Essence,44580
Ford,Mustang,VI FASTBACK 2.3 ECOBOOST BV6,2017,34560,Essence,39850
Ford,Mustang,2.3 ECOBOOST 317 ECOBOOST,2017,47520,Essence,38770
Ford,Mustang,5.0 V8 421 GT,2018,37498,Essence,59270
Ford,Mustang,V8 300 PREMIUM,2011,47384,Essence,41700
Ford,Mustang,2.3 ECOBOOST 317 ECOBOOST,2018,41876,Essence,44060
Ford,Mustang,BVA FASTBACK 2.3 ECOBOOST 290 10,2020,37632,Essence,44780
Ford,Mustang,5.0 V8 421 GT,2017,51840,Essence,48580
Ford,Mustang,2.3 ECOBOOST 290 ECOBOOST,2018,19184,Essence,46850
Ford,Mustang,2.3 ECOBOOST 317 ECOBOOST,2017,19440,Essence,39850
Ford,Mustang,5.0 V8 421 GT,2016,48158,Essence,49610
Ford,Mustang,5.0 V8 421 GT,2017,50624,Essence,51860
Ford,Mustang,5.0 V8 421 GT,2018,42586,Essence,50180
